etf_ticker,stock_ticker,stock_name,sector,weight_pct,date
00992A,2383,台光電,PCB,5.6,2026-06-05
00992A,3037,欣興,PCB,5.6,2026-06-05
00992A,2345,智邦,網通設備,5.05,2026-06-05
00992A,6669,緯穎,電子代工,4.43,2026-06-05
00992A,6223,旺矽,半導體設備材料,4.08,2026-06-05
00992A,8996,高力,重電綠能,3.76,2026-06-05
00992A,2454,聯發科,IC設計,3.71,2026-06-05
00992A,3017,奇鋐,散熱,3.54,2026-06-05
00992A,2059,川湖,機械自動化,3.44,2026-06-05
00992A,6584,南俊國際,機械自動化,3.04,2026-06-05
00992A,3665,貿聯-KY,連接器線材,2.9,2026-06-05
00992A,3443,創意,IC設計,2.82,2026-06-05
00992A,2368,金像電,PCB,2.63,2026-06-05
00992A,6515,穎崴,半導體設備材料,2.58,2026-06-05
00992A,8299,群聯,記憶體,2.52,2026-06-05
00992A,3661,世芯-KY,IC設計,2.5,2026-06-05
00992A,2327,國巨*,被動元件,2.4,2026-06-05
00992A,2455,全新,半導體設備材料,2.28,2026-06-05
00992A,3711,日月光投控,封測,1.99,2026-06-05
00992A,3105,穩懋,晶圓代工,1.96,2026-06-05
00992A,3081,聯亞,半導體設備材料,1.95,2026-06-05
00992A,2308,台達電,電源供應,1.72,2026-06-05
00992A,6274,台燿,PCB,1.64,2026-06-05
00992A,7769,鴻勁,半導體設備材料,1.48,2026-06-05
00992A,8046,南電,PCB,1.3,2026-06-05
00992A,7751,竑騰,半導體設備材料,1.22,2026-06-05
00992A,5274,信驊,IC設計,1.09,2026-06-05
00992A,2360,致茂,半導體設備材料,1.08,2026-06-05
00992A,3583,辛耘,半導體設備材料,1.02,2026-06-05
00992A,6187,萬潤,半導體設備材料,1.0,2026-06-05
00992A,6510,精測,半導體設備材料,0.99,2026-06-05
00992A,3008,大立光,光學鏡頭,0.99,2026-06-05
00992A,3653,健策,散熱,0.78,2026-06-05
00992A,4991,環宇-KY,晶圓代工,0.78,2026-06-05
00992A,3189,景碩,PCB,0.67,2026-06-05
00992A,5289,宜鼎,記憶體,0.6,2026-06-05
00992A,6531,愛普*,IC設計,0.58,2026-06-05
00992A,2337,旺宏,記憶體,0.46,2026-06-05
00992A,8021,尖點,PCB,0.46,2026-06-05
00992A,6805,富世達,其他電子,0.45,2026-06-05
00992A,6139,亞翔,半導體設備材料,0.42,2026-06-05
00992A,3260,威剛,記憶體,0.36,2026-06-05
00992A,7734,印能科技,半導體設備材料,0.36,2026-06-05
00992A,6442,光聖,網通設備,0.33,2026-06-05
00992A,3533,嘉澤,連接器線材,0.02,2026-06-05
00992A,3491,昇達科,網通設備,0.0,2026-06-05
00400A,2454,聯發科,IC設計,8.73,2026-06-05
00400A,2330,台積電,晶圓代工,8.23,2026-06-05
00400A,2383,台光電,PCB,7.19,2026-06-05
00400A,2308,台達電,電源供應,5.67,2026-06-05
00400A,2360,致茂,半導體設備材料,4.74,2026-06-05
00400A,3037,欣興,PCB,3.7,2026-06-05
00400A,6669,緯穎,電子代工,3.49,2026-06-05
00400A,2059,川湖,機械自動化,3.28,2026-06-05
