etf_ticker,stock_ticker,stock_name,weight_pct,shares
0052,3661,世芯-KY,0.38,137921
0052,3653,健策,0.35,146499
0052,2379,瑞昱,0.33,843349
0052,3034,聯詠,0.31,997822
0052,2337,旺宏,0.3,3056000
0052,2313,華通,0.29,1720000
0052,6239,力成,0.27,1197441
0052,2395,研華,0.26,796897
0052,3044,健鼎,0.25,776000
0052,6515,穎崴,0.24,44000
0052,3533,嘉澤,0.22,145386
0052,4938,和碩,0.21,3339981
0052,2324,仁寶,0.2,7323249
0052,2409,友達,0.19,10345121
0052,2474,可成,0.13,825000
0052,2347,聯強,0.12,2125107
0052,6805,富世達,0.11,90000
0052,8210,勤誠,0.1,114000
0052,3706,神達,0.09,1538400
0052,2451,創見,0.07,326000
0052,5269,祥碩,0.06,64538
0052,6176,瑞儀,0.05,785000
0052,6191,精成科,0.03,484000
00881,2330,台積電,38.04,20736000
00881,2454,聯發科,10.5,3081000
00881,2308,台達電,7.97,4272000
00881,2317,鴻海,5.56,24668000
00881,2303,聯電,2.92,30406000
00881,3037,欣興,2.89,3872871
00881,2383,台光電,2.46,661000
00881,2360,致茂,2.37,1175000
00881,2345,智邦,2.2,1140000
00881,2382,廣達,1.92,6181000
00881,3017,奇鋐,1.8,865000
00881,6274,台  燿,1.6,1224000
00881,3231,緯創,1.59,11779000
00881,6223,旺矽,1.57,337000
00881,2368,金像電,1.38,1327000
00881,3008,大立光,1.31,447000
00881,4958,臻鼎-KY,1.29,3414000
00881,3665,貿聯-KY,1.23,741541
00881,2059,川湖,1.2,291000
00881,2449,京元電子,1.1,4439000
00881,2379,瑞昱,0.97,2023000
00881,3034,聯詠,0.92,2458000
00881,2313,華通,0.86,4216000
00881,3045,台灣大,0.82,9167000
00881,4904,遠傳,0.8,10203000
00881,3036,文曄,0.72,3328000
00881,3105,穩懋,0.69,1843000
00881,4938,和碩,0.68,9179000
00922,2330,台積電,40,13884431
00922,2454,聯發科,7.27,1358931
00922,2308,台達電,5.84,1994333
00922,2317,鴻海,4.13,11675509
00922,3711,日月光投控,2.75,3834745
00922,2327,國巨,2.19,2436784
00922,2383,台光電,2.09,358271
00922,2303,聯電,2.05,13606860
00922,2345,智邦,1.86,612463
00922,2891,中信金,1.63,19854183
00922,3017,奇鋐,1.44,439411
00922,2382,廣達,1.4,2878077
00922,2881,富邦金,1.38,10020458
00922,3037,欣興,1.36,1160230
00922,2885,元大金,1.18,15233506
00922,2360,致茂,1.12,353544
00922,2887,台新新光金,1.09,31471957
00922,2357,華碩,0.92,855368
00922,2883,凱基金,0.87,26403127
00922,3231,緯創,0.79,3723828
00922,2412,中華電,0.76,4447392
00922,2884,玉山金,0.73,18147544
00922,3008,大立光,0.72,155920
00922,5274,信  驊,0.68,30950
00922,1303,南亞,0.67,4974000
00922,2368,金像電,0.56,342595
00922,2379,瑞昱,0.55,735812
00922,5871,中租-KY,0.54,3773488
00922,4958,臻鼎-KY,0.52,867000
00922,3034,聯詠,0.51,861548
00922,3443,創意,0.5,94049
00922,3653,健策,0.48,106199
00922,2880,華南金,0.47,10325519
00922,2892,第一金,0.45,12477164
00922,6446,藥華藥,0.41,365000
00922,1590,亞德客-KY,0.4,254538
00922,2449,京元電子,0.39,1012487
00922,6223,旺矽,0.37,51000
00922,3529,力旺,0.36,85000
00992A,2330,台積電,8.3836,1706000
00992A,2383,台光電,5.6029,563000
00992A,3037,欣興,5.5959,2797000
00992A,2345,智邦,5.0528,977000
00992A,6669,緯穎,4.43,386000
00992A,6223,旺矽,4.0772,326000
00992A,8996,高力,3.7615,1630000
00992A,2454,聯發科,3.7058,406000
00992A,3017,奇鋐,3.5401,634000
00992A,2059,川湖,3.4393,312000
00992A,6584,南俊國際,3.0426,2204000
00992A,3665,貿聯-KY,2.895,652000
00992A,3443,創意,2.8195,311000
00992A,2368,金像電,2.6286,945000
00992A,6515,穎崴,2.5843,145000
00992A,8299,群聯,2.525,475000
00992A,3661,世芯-KY,2.5038,280000
00992A,2327,國巨*,2.3974,1566000
00992A,2455,全新,2.2803,2753000
00992A,3711,日月光投控,1.9903,1629000
00992A,3105,穩懋,1.9577,1949000
00992A,3081,聯亞,1.9456,366000
00992A,2308,台達電,1.7188,344000
00992A,6274,台燿,1.6449,471000
00992A,7769,鴻勁,1.4759,97000
00992A,8046,南電,1.2989,718000
00992A,7751,竑騰,1.2208,375000
00992A,5274,信驊,1.0913,29000
00992A,2360,致茂,1.0796,200000
00992A,3583,辛耘,1.0169,566000
00992A,6187,萬潤,0.9993,435000
00992A,6510,精測,0.9894,137000
00992A,3008,大立光,0.9851,125000
00992A,3653,健策,0.7839,102000
00992A,4991,環宇-KY,0.777,553000
00992A,3189,景碩,0.6701,470013
00992A,5289,宜鼎,0.6005,153000
00992A,6531,愛普*,0.576,265000
00992A,2337,旺宏,0.4624,1434000
00992A,8021,尖點,0.4552,501000
00992A,6805,富世達,0.4458,109000
00992A,6139,亞翔,0.4249,250000
00992A,3260,威剛,0.3604,382000
00992A,7734,印能科技,0.3588,56000
00992A,6442,光聖,0.327,74000
00992A,3533,嘉澤,0.0197,4000
00992A,3491,昇達科,0.004,1000
00400A,2454,聯發科,8.73,440000
00400A,2330,台積電,8.23,770000
00400A,2383,台光電,7.19,332000
00400A,2308,台達電,5.67,522000
00400A,2360,致茂,4.74,404000
00400A,3037,欣興,3.7,850000
00400A,6669,緯穎,3.49,140000
00400A,2059,川湖,3.28,137000
00400A,2345,智邦,2.92,260000
00400A,5274,信  驊,2.78,34000
00400A,3017,奇鋐,2.68,221000
00400A,3044,健鼎,2.37,1034000
00400A,2368,金像電,2.31,382000
00400A,2327,國巨,2.2,660000
00400A,2408,南亞科,2.16,1218000
00400A,2357,華碩,1.92,481000
00400A,3036,文曄,1.89,1497000
00400A,6223,旺矽,1.88,69000
00400A,8210,勤  誠,1.59,250000
00400A,2376,技嘉,1.54,919000
00400A,6147,頎邦,1.5,1234000
00400A,6285,啟  碁,1.37,1030000
00400A,2382,廣達,1.2,664000
00400A,2885,元大金,1.15,4012000
00400A,1590,亞德客-KY,1.13,193000
00400A,2891,中信金,1.08,3533000
00400A,3665,貿聯-KY,1.03,107000
00400A,1519,華  城,0.96,235000
00400A,3711,日月光投控,0.95,358000
00400A,6274,台  燿,0.93,122000
00400A,1303,南亞,0.92,1840000
00400A,6187,萬  潤,0.76,152000
00400A,3702,大聯大,0.74,1416000
00400A,2404,漢唐,0.69,126000
00400A,8069,元太,0.68,705000
00400A,2313,華通,0.65,544000
00400A,3131,弘  塑,0.6,42000
00400A,3293,鈊  象,0.48,133000
00400A,6515,穎崴,0.47,12000
00400A,6278,台表科,0.45,476000
00400A,7769,鴻  勁,0.43,13000
00400A,2881,富邦金,0.42,817000
00400A,4749,新應材,0.41,90000
00400A,6121,新  普,0.33,178000
00400A,3374,精  材,0.31,271000
00400A,2385,群光,0.22,338000
00982A,2330,台積電,8.6457,1937000
00982A,5536,聖暉*,7.8685,3754000
00982A,2454,聯發科,7.1465,862000
00982A,6139,亞翔,4.2829,2774000
00982A,2360,致茂,4.0353,823000
00982A,3105,穩懋,3.7798,4143000
00982A,2345,智邦,3.7767,804000
00982A,3491,昇達科,3.5289,967000
00982A,6223,旺矽,3.4874,307000
00982A,6669,緯穎,3.0855,296000
00982A,6147,頎邦,3.0004,5916000
00982A,2383,台光電,2.9829,330000
00982A,4958,臻鼎-KY,2.9005,3147000
00982A,6285,啟碁,2.2318,4029000
00982A,2303,聯電,2.107,9007000
00982A,3017,奇鋐,2.0641,407000
00982A,6257,矽格,1.9999,4687000
00982A,3264,欣銓,1.9952,4508000
00982A,6488,環球晶,1.8659,1146000
00982A,2059,川湖,1.8322,183000
00982A,3583,辛耘,1.8293,1121000
00982A,2472,立隆電,1.8274,2790000
00982A,2467,志聖,1.7116,1461000
00982A,2377,微星,1.4902,5688000
00982A,1785,光洋科,1.4429,5527000
00982A,3008,大立光,1.4388,201000
00982A,6274,台燿,1.3957,440000
00982A,7769,鴻勁,1.2853,93000
00982A,8016,矽創,1.2558,2211000
00982A,3036,文曄,1.2196,2311000
00982A,3702,大聯大,1.1817,5420000
00982A,3711,日月光投控,1.1186,1008000
00982A,6531,愛普*,1.0938,554000
00982A,2316,楠梓電,1.0102,3374000
00982A,2368,金像電,0.9903,392000
00982A,6278,台表科,0.8732,2201000
00982A,8996,高力,0.7881,376000
00982A,2376,技嘉,0.7447,1064000
00982A,2351,順德,0.533,1350000
00982A,6805,富世達,0.4495,121000
00982A,2451,創見,0.3467,519000
00982A,5274,信驊,0.3076,9000
00982A,2885,元大金,0.2528,2114420
00982A,3376,新日興,0.1447,359000
00982A,6177,達麗,0.0162,194350
00982A,3443,創意,0.0082,1000
00982A,4441,振大環球,0.0016,4000
